Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 05:00:00",24.42,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 06:00:00",23.56,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 07:00:00",23.91,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 08:00:00",24.76,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 09:00:00",26.08,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 10:00:00",27.4,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 11:00:00",27.66,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 12:00:00",28.55,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 13:00:00",29.35,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 14:00:00",30.18,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 15:00:00",30.79,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 16:00:00",30.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 17:00:00",30.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 18:00:00",29.68,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 19:00:00",30.13,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 20:00:00",32.94,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 21:00:00",33.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 22:00:00",33.14,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 23:00:00",32.48,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 00:00:00",30.8,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 01:00:00",29.02,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 02:00:00",27.64,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 03:00:00",26.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 04:00:00",25.54,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 05:00:00",24.61,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 06:00:00",23.08,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 07:00:00",23.21,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 08:00:00",24.27,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 09:00:00",25.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 10:00:00",25.96,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 11:00:00",26.38,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 12:00:00",27.12,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 13:00:00",27.8,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 14:00:00",28.57,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 15:00:00",29.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 16:00:00",29.18,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 17:00:00",29.52,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 18:00:00",29.07,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 19:00:00",29.23,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 20:00:00",32.56,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 21:00:00",33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 22:00:00",32.82,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-07 23:00:00",32.41,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 00:00:00",31.33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 01:00:00",29.91,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 02:00:00",29.15,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 03:00:00",27.96,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 04:00:00",27.14,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 05:00:00",26.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 06:00:00",25.07,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 07:00:00",24.27,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 08:00:00",24.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 09:00:00",25.54,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 10:00:00",25.72,Normal
